protein_id	specie
HIN_074666	HI
HIN_075024	HI
HIN_075318	HI
HIN_075358	HI
HIN_075708	HI
HIN_076068	HI
HIN_076357	HI
HIN_076935	HI
HIN_077300	HI
HIN_079706	HI
HIN_079707	HI
HIN_079776	HI
HIN_080426	HI
HIN_080638	HI
HIN_080760	HI
HIN_080761	HI
HIN_080941	HI
HIN_081143	HI
HIN_081374	HI
HIN_081682	HI
HIN_081683	HI
HIN_081778	HI
HIN_082135	HI
HIN_082789	HI
HIN_083802	HI
HIN_083803	HI
HIN_083851	HI
HIN_083852	HI
HIN_083863	HI
HIN_085551	HI
HIN_085955	HI
HIN_086160	HI
HIN_086161	HI
HIN_086163	HI
HIN_086242	HI
HIN_086537	HI
HIN_087083	HI
HIN_087328	HI
HIN_088362	HI
HIN_088451	HI
HIN_088928	HI
HIN_089504	HI
HIN_089717	HI
HIN_090415	HI
HIN_091500	HI
HIN_092440	HI
HIN_092692	HI
HIN_094014	HI
HIN_094203	HI
HIN_094319	HI
HIN_094455	HI
HIN_094697	HI
HIN_095085	HI
HIN_095450	HI
HIN_095451	HI
HIN_096854	HI
HIN_096855	HI
HIN_097772	HI
HIN_097942	HI
HIN_097943	HI
HIN_098066	HI
HIN_098067	HI
HIN_098155	HI
HIN_098182	HI
HIN_099220	HI
HIN_099575	HI
HIN_099616	HI
HIN_099852	HI
HIN_100055	HI
HIN_100056	HI
HIN_100087	HI
HIN_100095	HI
HIN_100177	HI
HIN_100302	HI
HIN_100435	HI
HIN_100436	HI
HIN_100685	HI
HIN_100701	HI
HIN_100764	HI
HIN_100788	HI
HIN_100789	HI
HIN_100816	HI
HIN_100843	HI
HIN_100856	HI
HIN_101021	HI
HIN_002379	HI
HIN_002554	HI
HIN_018744	HI
HIN_018756	HI
HIN_018764	HI
HIN_018765	HI
HIN_030375	HI
HIN_030402	HI
HIN_030433	HI
HIN_030436	HI
HIN_030437	HI
HIN_030440	HI
HIN_030441	HI
HIN_030449	HI
HIN_032794	HI
HIN_034611	HI
HIN_038606	HI
HIN_038608	HI
HIN_038651	HI
HIN_038654	HI
HIN_038663	HI
HIN_038664	HI
HIN_038665	HI
HIN_038668	HI
HIN_038669	HI
HIN_038672	HI
HIN_038673	HI
HIN_038685	HI
HIN_050142	HI
HIN_050582	HI
HIN_053148	HI
HIN_053151	HI
HIN_053162	HI
HIN_053185	HI
HIN_053192	HI
HIN_053200	HI
HIN_053206	HI
HIN_066521	HI
HIN_066564	HI
HIN_069798	HI
HIN_069810	HI
HIN_069840	HI
HIN_071582	HI
HIN_071591	HI
HIN_073496	HI
HIN_073498	HI
HIN_073513	HI
HIN_073523	HI
HIN_075011	HI
HIN_075012	HI
HIN_075019	HI
HIN_075040	HI
HIN_075045	HI
HIN_075054	HI
HIN_079074	HI
HIN_079083	HI
HIN_079093	HI
HIN_083089	HI
HIN_083894	HI
HIN_083963	HI
HIN_083973	HI
HIN_085117	HI
HIN_085129	HI
HIN_085131	HI
HIN_085160	HI
HIN_085165	HI
HIN_086347	HI
HIN_086348	HI
HIN_086352	HI
HIN_086353	HI
HIN_086356	HI
HIN_086357	HI
HIN_086361	HI
HIN_086953	HI
HIN_088726	HI
HIN_095986	HI
HIN_096970	HI
HIN_096974	HI
HIN_096977	HI
HIN_097034	HI
HIN_100725	HI
HIN_006032	HI
HIN_010049	HI
HIN_010088	HI
HIN_016746	HI
HIN_017746	HI
HIN_020364	HI
HIN_022724	HI
HIN_024130	HI
