protein_id	specie
HIN_068701	hin
HIN_068704	hin
HIN_073952	hin
HIN_076050	hin
HIN_084471	hin
HIN_084474	hin
HIN_084478	hin
HIN_091944	hin
HIN_091946	hin
HIN_091948	hin
HIN_091950	hin
HIN_096553	hin
HIN_096554	hin
HIN_096555	hin
HIN_006603	hin
HIN_008119	hin
HIN_073329	hin
HIN_073335	hin
HIN_017473	hin
HIN_017474	hin
HIN_017484	hin
HIN_017554	hin
HIN_017555	hin
HIN_017585	hin
HIN_017586	hin
HIN_017595	hin
HIN_027053	hin
HIN_027988	hin
HIN_039046	hin
HIN_039103	hin
HIN_049227	hin
HIN_049229	hin
HIN_052687	hin
HIN_052688	hin
HIN_052697	hin
HIN_067470	hin
HIN_067486	hin
HIN_067487	hin
HIN_067488	hin
HIN_067489	hin
HIN_067490	hin
HIN_067518	hin
HIN_067519	hin
HIN_067585	hin
HIN_067592	hin
HIN_067598	hin
HIN_076314	hin
HIN_076315	hin
HIN_076335	hin
HIN_076337	hin
HIN_076339	hin
HIN_076341	hin
HIN_076342	hin
HIN_076344	hin
HIN_076362	hin
HIN_020375	hin
HIN_002682	hin
HIN_002685	hin
HIN_002706	hin
HIN_002708	hin
HIN_021617	hin
HIN_021672	hin
HIN_021691	hin
HIN_031454	hin
HIN_031461	hin
HIN_031463	hin
HIN_031470	hin
HIN_031480	hin
HIN_031482	hin
HIN_035078	hin
HIN_045325	hin
HIN_045327	hin
HIN_045329	hin
HIN_045340	hin
HIN_045343	hin
HIN_068493	hin
HIN_079712	hin
HIN_079714	hin
HIN_079716	hin
HIN_079718	hin
HIN_079720	hin
HIN_081115	hin
HIN_085808	hin
HIN_085815	hin
HIN_097676	hin
HIN_000087	hin
HIN_000092	hin
HIN_000096	hin
HIN_000099	hin
HIN_000100	hin
HIN_000106	hin
HIN_000107	hin
HIN_011932	hin
HIN_011941	hin
HIN_011947	hin
HIN_011951	hin
HIN_011953	hin
HIN_011958	hin
HIN_011961	hin
HIN_013584	hin
HIN_013588	hin
HIN_013589	hin
HIN_013591	hin
HIN_013595	hin
HIN_013603	hin
HIN_013609	hin
HIN_013624	hin
HIN_016802	hin
HIN_054207	hin
HIN_075210	hin
HIN_093102	hin
HIN_004974	hin
HIN_004975	hin
HIN_005067	hin
HIN_012350	hin
HIN_012442	hin
HIN_012443	hin
HIN_032388	hin
HIN_002872	hin
HIN_002873	hin
HIN_002874	hin
HIN_015457	hin
HIN_015458	hin
HIN_015461	hin
HIN_015462	hin
HIN_015463	hin
HIN_015464	hin
HIN_015465	hin
HIN_015467	hin
HIN_015468	hin
HIN_015470	hin
HIN_015471	hin
HIN_015472	hin
HIN_015473	hin
HIN_016474	hin
HIN_016477	hin
HIN_016478	hin
HIN_016479	hin
HIN_016481	hin
HIN_016482	hin
HIN_016483	hin
HIN_088605	hin
HIN_088606	hin
HIN_088607	hin
HIN_088608	hin
HIN_099434	hin
HIN_099435	hin
HIN_098031	hin
